ID,T,pH,STD,CE,Na,K,Ca,Mg,Cl,SO4,ALK,NO3
ON-1,25.5,7.52,344080,513,66.40,3.47,45.55,9.84,65.24,70.81,67,1.67
ON-2,23.9,7.49,376.72,544,69.83,3.97,49.72,13.38,89.11,90.58,66,1.59
ON-3,30.5,7.4,402.56,653,69.56,3.62,53.86,16.37,92.69,89.64,60,2.42
ON-5,18.8,7.2,310.08,405,40.64,3.75,52.14,16.34,40.24,69.14,74,13.17
ON-6,19.8,7.05,346.12,460,46.46,3.65,56.13,16.36,73.11,70.51,57,21.24
ON-7,21.6,7.09,482.12,665,62.61,4.50,74.97,26.89,113.99,81.87,71,60.80
ON-8,20.4,7.24,535.84,720,81.24,3.72,84.18,26.74,130.56,97.25,70,25.56
ON-9,23.4,7.25,530.4,785,80.49,4.34,85.90,25.52,129.25,94.58,78,18.77
ON-10,19.9,7.4,411.4,547,62.53,3.80,70.04,21.76,76.68,71.98,91,9.37
ON-11,21.3,7.16,382.84,524,47.68,4.15,70.47,22.25,94.99,62.49,68,44.44
ON-12,21.9,7,367.2,509,52.41,3.80,59.40,19.53,64.60,95.62,54,11.94
ON-18,21.4,7.57,716.72,989,63.42,10.14,139.96,44.26,200.34,238.78,75,5.35
ON-19,20.9,7.56,523.6,712,62.95,7.10,91.34,30.77,139.66,157.57,56,0.01
ON-20,22.9,6.95,1248.48,1757,94.92,8.02,197.26,73.26,738.55,35.33,56,25.17
ON-21,25.1,7.08,835.04,1229,101.78,5.14,114.98,60.78,456.65,43.47,60,3.81
ON-22,22.9,7.38,686.8,969,116.37,6.24,98.68,33.07,232.30,35.57,122,0.36
ON-23,22.5,7.29,807.16,1131,148.71,7.62,121.21,29.09,292.60,81.41,90,1.90
ON-24,22.9,7.19,614.04,869,63.49,4.66,88.62,31.98,300.67,65.09,35,8.19
ON-25,21.3,7.37,571.88,782,92.04,4.29,90.54,26.21,255.51,168.48,61,10.35
ON-26,23.1,7.2,293.624,415,49.91,3.19,47.24,13.41,92.26,68.97,45,3.43
ON-27,26.8,7.28,335.24,511,43.56,3.78,58.97,17.02,56.32,55.92,63,20.59
ON-28,23.3,7.27,431.8,613,56.73,6.86,65.93,31.32,113.13,126.52,80,1.10
ON-29,22.6,7.5,465.8,653,52.82,5.22,72.83,27.88,102.91,116.71,82,7.94
G-2,23.1,8.91,711.28,1007,122.07,3.61,34.14,36.09,217.27,11.58,69,0.01
G-4,22.7,7.22,3406.8,4805,576.23,75.84,288.33,153.99,1175.27,702.43,135,128.95
G-5,22.2,7.26,4256.8,5930,766.90,6.59,376.84,199.61,1394.48,1304.97,162,11.69
G-6,22,7.08,4202.4,5750,697.25,6.97,372.55,220.72,1540.17,935.90,207,57.18
G-8,20.5,7.34,890.8,1197,109.77,3.74,69.46,31.03,245.48,57.53,90,0.08
G-11,24.6,6.93,1253.92,1825,200.69,1.56,88.80,45.50,454.95,100.17,59,16.88
G-12,22.6,6.82,2218.84,3149,367.56,3.77,159.72,102.92,645.34,574.95,70,9.96
G-13,23,6.97,3243.6,4635,541.10,3.36,332.46,151.81,963.86,1023.75,155,20.70
G-14,22.1,7.25,1822.4,2538,290.67,5.00,207.09,72.65,445.17,426.75,116,118.94
G-15,24,7.18,2028.44,2960,320.88,4.26,245.08,94.37,541.93,489.28,149,31.07
G-16,23,6.74,1259.36,1795,154.03,3.03,112.20,62.94,426.25,111.52,58,34.26
G-17,23.6,6.53,822.8,1103,99.91,3.22,74.22,30.13,211.13,114.96,63,0.55
G-18,23.9,7.02,686.12,991,84.62,2.27,62.28,29.93,180.00,37.70,77,0.97
G-20,23.4,6.67,2205.24,3172,417.71,6.32,171.50,89.66,446.29,458.10,181,0.12
G-21,21.9,7.16,1130.84,1570,184.35,4.93,116.79,50.09,245.57,242.76,105,4.46
G-22,23.1,6.94,1730.6,2481,231.02,1.73,151.77,86.17,588.62,230.95,77,38.59
G-23,25.5,7.02,1927.8,2870,328.96,3.43,149.41,85.84,596.82,321.65,118,25.04
G-24,21.5,7.4,1050.6,1446,169.98,3.49,55.33,41.55,251.06,186.07,103,2.92
G-26,21,7.13,969.68,1313,138.00,2.88,111.69,38.86,211.95,191.06,78,0.01
G-28,21.3,7.05,1002.32,1372,149.32,2.42,113.39,40.73,243.16,149.15,90,19.46
G-29,21,7.06,738.48,945,99.06,1.80,82.38,29.97,179.81,74.12,63,35.87
G-31,19.5,7.17,934.32,1230,135.38,5.26,100.91,36.73,222.75,131.09,85,10.40
G-33,20,7.25,828.24,1108,134.77,4.53,78.21,32.19,178.23,104.97,99,0.01
G-34,20.8,6.98,896.92,1216,151.42,5.02,81.20,30.27,213.65,106.26,92,0.01
G-37,23,7.43,776.56,1107,125.59,1.18,64.69,25.58,220.18,42.48,49,54.42
G-38,24,7.34,1553.8,2264,247.65,4.56,146.01,56.93,382.38,327.26,115,12.34
G-39,23.9,7.12,1718.36,2503,284.27,5.43,155.11,67.18,436.99,384.55,137,63.69
